time,open,high,low,close,volume
2026-05-15 16:00:00,2222.86,2230.57,2220.0,2224.08,42.2171
2026-05-15 17:00:00,2224.58,2231.21,2224.45,2229.16,61.777
2026-05-15 18:00:00,2229.47,2232.77,2225.38,2228.5,29.9518
2026-05-15 19:00:00,2228.4,2228.42,2222.49,2223.58,27.8638
2026-05-15 20:00:00,2223.42,2225.27,2217.64,2220.26,35.2397
2026-05-15 21:00:00,2220.14,2225.08,2215.68,2216.33,36.7146
2026-05-15 22:00:00,2216.99,2224.33,2216.99,2224.32,30.5332
2026-05-15 23:00:00,2224.18,2226.27,2222.88,2224.8,45.3254
2026-05-16 00:00:00,2224.66,2231.46,2223.82,2226.94,166.8778
2026-05-16 01:00:00,2226.93,2230.85,2223.53,2229.63,198.7372
2026-05-16 02:00:00,2229.63,2231.49,2227.0,2229.91,150.183
2026-05-16 03:00:00,2229.91,2230.64,2227.11,2227.86,66.8141
2026-05-16 04:00:00,2228.17,2228.72,2219.23,2226.06,143.8175
2026-05-16 05:00:00,2225.99,2227.12,2223.14,2225.2,102.2605
2026-05-16 06:00:00,2225.37,2226.84,2211.82,2215.33,197.7513
2026-05-16 07:00:00,2215.44,2215.44,2183.99,2194.9,593.0959
2026-05-16 08:00:00,2194.81,2196.79,2192.43,2193.6,204.3311
2026-05-16 09:00:00,2193.25,2193.85,2167.0,2173.82,334.9498
2026-05-16 10:00:00,2173.57,2174.68,2163.68,2173.85,295.8654
2026-05-16 11:00:00,2173.85,2180.54,2173.84,2176.28,190.7255
2026-05-16 12:00:00,2176.1,2179.19,2173.67,2176.5,174.754
2026-05-16 13:00:00,2176.51,2179.01,2172.43,2176.77,202.05
2026-05-16 14:00:00,2177.06,2186.72,2173.51,2179.98,292.1946
2026-05-16 15:00:00,2179.93,2183.51,2176.9,2180.02,323.0968
2026-05-16 16:00:00,2180.0,2183.5,2170.52,2174.11,216.8601
2026-05-16 17:00:00,2174.11,2180.79,2174.11,2179.3,136.9532
2026-05-16 18:00:00,2178.91,2183.66,2176.36,2181.35,128.5881
2026-05-16 19:00:00,2181.35,2182.77,2179.24,2179.56,66.8319
2026-05-16 20:00:00,2179.57,2182.84,2179.56,2181.85,135.4192
2026-05-16 21:00:00,2181.45,2183.43,2181.13,2182.39,101.0307
2026-05-16 22:00:00,2182.39,2183.05,2179.77,2181.04,130.6001
2026-05-16 23:00:00,2180.47,2182.83,2179.87,2180.9,132.589
2026-05-17 00:00:00,2180.76,2188.57,2174.59,2177.02,302.7832
2026-05-17 01:00:00,2177.02,2183.6,2168.74,2169.75,284.9503
2026-05-17 02:00:00,2169.65,2176.05,2169.65,2173.86,206.2723
2026-05-17 03:00:00,2174.51,2183.13,2174.5,2181.7,192.8054
2026-05-17 04:00:00,2181.7,2189.73,2181.44,2187.6,183.3412
2026-05-17 05:00:00,2187.61,2194.7,2185.79,2185.82,164.8716
2026-05-17 06:00:00,2185.91,2187.78,2181.97,2185.01,152.6552
2026-05-17 07:00:00,2185.02,2188.0,2182.69,2186.51,196.902
2026-05-17 08:00:00,2186.64,2187.01,2183.4,2185.94,111.9536
2026-05-17 09:00:00,2185.95,2191.35,2185.91,2190.31,96.3217
2026-05-17 10:00:00,2190.31,2198.0,2190.22,2193.9,232.9768
2026-05-17 11:00:00,2193.9,2194.72,2188.19,2192.01,295.9312
2026-05-17 12:00:00,2192.01,2198.1,2191.48,2194.3,282.6335
2026-05-17 13:00:00,2194.29,2194.93,2187.94,2192.11,306.2071
2026-05-17 14:00:00,2192.12,2192.4,2179.48,2186.65,473.9565
2026-05-17 15:00:00,2186.65,2192.16,2181.91,2186.78,468.9455
2026-05-17 16:00:00,2186.85,2188.84,2182.15,2182.52,370.8322
2026-05-17 17:00:00,2182.69,2184.95,2176.89,2183.68,395.7983
2026-05-17 18:00:00,2183.68,2189.85,2179.2,2188.5,404.2345
2026-05-17 19:00:00,2188.5,2193.43,2187.69,2192.46,288.283
2026-05-17 20:00:00,2192.45,2193.67,2187.4,2189.54,237.558
2026-05-17 21:00:00,2188.51,2194.62,2187.32,2192.14,264.1772
2026-05-17 22:00:00,2191.27,2191.27,1800.0,2179.14,766.7752
2026-05-17 23:00:00,2179.69,2179.7,1861.79,2128.08,728.8661
