time,open,high,low,close,volume
2026-05-31 17:05:00,2000.68,2001.53,1999.62,2000.31,37.6503
2026-05-31 17:10:00,2000.31,2000.31,1997.98,1999.5,32.0828
2026-05-31 17:15:00,2000.36,2002.52,1999.97,1999.97,25.3971
2026-05-31 17:20:00,1999.98,2000.95,1999.98,2000.95,12.7418
2026-05-31 17:25:00,2001.08,2002.81,2001.08,2002.24,71.5256
2026-05-31 17:30:00,2002.43,2005.81,2002.43,2005.41,24.8716
2026-05-31 17:35:00,2005.41,2007.01,2005.4,2006.81,30.0075
2026-05-31 17:40:00,2005.43,2005.44,2004.82,2005.03,27.3095
2026-05-31 17:45:00,2005.03,2007.6,2005.03,2006.13,32.145
2026-05-31 17:50:00,2005.94,2005.94,2005.06,2005.91,30.1755
2026-05-31 17:55:00,2005.42,2006.05,2004.89,2006.05,20.4024
2026-05-31 18:00:00,2005.68,2005.68,2002.05,2002.6,30.0271
2026-05-31 18:05:00,2002.59,2004.09,2002.5,2003.47,35.8188
2026-05-31 18:10:00,2003.45,2004.4,2003.03,2003.03,27.204
2026-05-31 18:15:00,2002.62,2002.62,2001.65,2002.06,31.8732
2026-05-31 18:20:00,2002.06,2002.09,2001.12,2001.82,23.6617
2026-05-31 18:25:00,2001.83,2003.62,2001.83,2002.97,24.3073
2026-05-31 18:30:00,2002.97,2004.79,2002.84,2003.08,67.8036
2026-05-31 18:35:00,2003.11,2003.48,2002.52,2002.52,36.9824
2026-05-31 18:40:00,2002.57,2003.17,2000.9,2000.91,47.4167
2026-05-31 18:45:00,2000.91,2000.91,1999.59,1999.77,63.2128
2026-05-31 18:50:00,1999.72,2000.73,1999.08,2000.16,40.1368
2026-05-31 18:55:00,2000.16,2000.78,1999.95,2000.7,7.0457
2026-05-31 19:00:00,2000.69,2002.39,2000.03,2000.03,25.284
2026-05-31 19:05:00,2000.04,2000.53,1999.6,1999.71,12.4186
2026-05-31 19:10:00,1999.94,2000.31,1998.41,1998.55,21.1372
2026-05-31 19:15:00,1998.56,1999.72,1998.09,1999.45,25.8333
2026-05-31 19:20:00,1999.63,1999.88,1997.52,1997.52,10.346
2026-05-31 19:25:00,1997.32,1997.32,1995.04,1997.29,51.1331
2026-05-31 19:30:00,1997.39,1998.56,1994.29,1995.03,43.8129
